fips_code,State,All Bed Occupancy Rate,ICU Bed Occupancy Rate,Staffed All Beds [Per 1000 People],Staffed All Beds [Per 1000 Adults (20+)],Staffed All Beds [Per 1000 Elderly (65+)],Staffed ICU Beds [Per 1000 People],Staffed ICU Beds [Per 1000 Adults (20+)],Staffed ICU Beds [Per 1000 Elderly (65+)]
6061,CA,0.72,0.73,1.763,2.332,9.011,0.178,0.236,0.91
6063,CA,0.26,,2.234,2.755,7.858,0,0,0
6065,CA,0.58,0.59,1.479,2.053,10.263,0.167,0.232,1.161
6067,CA,0.7,0.62,2.077,2.802,14.706,0.257,0.347,1.82
6069,CA,0.38,0.33,0.796,1.113,6.174,0.13,0.182,1.008
6071,CA,0.64,0.66,2.832,3.997,24.467,0.196,0.276,1.691
6073,CA,0.66,0.57,1.968,2.601,14.018,0.193,0.255,1.372
6075,CA,0.64,0.59,3.266,3.843,20.868,0.388,0.457,2.481
6077,CA,0.58,0.64,1.772,2.53,13.908,0.174,0.248,1.366
6079,CA,0.44,0.32,5.701,7.325,28.384,0.19,0.244,0.947
6081,CA,0.39,0.41,2.495,3.219,15.494,0.17,0.22,1.057
6083,CA,0.62,0.62,1.597,2.18,10.414,0.184,0.251,1.198
6085,CA,0.59,0.539583333,2.195,2.895,16.283,0.248,0.327,1.838
6087,CA,0.55,0.83,1.291,1.701,7.845,0.08,0.106,0.488
6089,CA,0.53,0.31,3.172,4.148,15.205,0.45,0.588,2.157
6091,CA,,,0,0,0,0,0,0
6093,CA,0.45,0.42,1.144,1.471,4.48,0.183,0.235,0.717
6095,CA,0.56,0.44,1.579,2.086,10.01,0.206,0.272,1.306
6097,CA,0.58,0.56,1.648,2.115,8.347,0.164,0.21,0.831
6099,CA,0.62,0.67,2.51,3.571,19.082,0.16,0.228,1.217
6101,CA,0.22,,0.31,0.432,2.013,0,0,0
6103,CA,0.6,0.49,0.767,1.038,3.955,0.125,0.17,0.646
6105,CA,0.23,,1.994,2.451,7.31,0,0,0
6107,CA,0.62,0.54,1.507,2.271,13.173,0.14,0.21,1.22
6109,CA,0.54,0.66,1.54,1.89,5.883,0.11,0.135,0.42
